# Constructed from biom file
#OTU ID	CWB1	MRM1	CWB3	FPP2	FWB2	MWB2	RPP1	RPB2	BRM1	FRR2	CRR1	BRM2	SPB2	BWB3	RRR2	BRR1	CPP2	MRR1	MPB1	SRM1	SPP3	BPP3	BWB1	BRM3	MRM3	SRR2	BWA1	CWA3	RPP3	RPB3	BWB2	CPB3	CWA1	FWA1	SPB3	MPB2	CRM3	RRR1	BWA2	SRM3	RWA3	RRM2	MPP3	FWB1	SWB2	SWA3	CRR3	MRM2	CRR2	RWB1	SRR1	FRM3	FRR3	SWB1	FPB3	RWB2	MRR2	MRR3	RRM1	FWA3	CPP3	MWA3	MPP2	BRR2	BPB1	RRM3	BPB2	CRM2	MPB3	FRR1	SPP1	BPP1	FWA2	SWA1	BWA3	FPP1	CPB2	CWB2	FPP3	MWB3	SWB3	BRR3	RPP2	CPP1	MWB1	SRM2	BPP2	SPB1	FPB1	RWA2	SRR3	RWB3	FWB3	BPB3	RPB1	SWA2	MPP1	FPB2	RWA1	MWA1	CWA2	FRM1	SPP2	RRR3	CRM1	CPB1	FRM2	MWA2
309.1183_344.2704	520617.0	1375620.0	457927.0	707539.0	418896.0	1505490.0	902671.0	1458850.0	961749.0	529911.0	992703.0	1091590.0	786475.0	583064.0	1216920.0	1231610.0	569764.0	2183330.0	1326420.0	891953.0	978634.0	912276.0	849505.0	764053.0	1388300.0	790434.0	1814250.0	396835.0	1052730.0	813753.0	529236.0	507447.0	444347.0	684982.0	1209970.0	1551720.0	628053.0	1085430.0	1921980.0	1208140.0	591475.0	645896.0	3458170.0	357476.0	1003030.0	919559.0	783715.0	1479730.0	734727.0	480346.0	1114520.0	711774.0	576898.0	917931.0	947620.0	490583.0	2265010.0	2027790.0	771800.0	829783.0	501075.0	1797490.0	2986170.0	1303120.0	1246900.0	705071.0	833863.0	651568.0	1519450.0	527577.0	1183860.0	1307010.0	654370.0	908194.0	1899690.0	773294.0	364075.0	452137.0	1062960.0	1161970.0	1015970.0	1306370.0	818294.0	671906.0	1478220.0	984074.0	1160030.0	1078680.0	997772.0	619042.0	826528.0	493989.0	340600.0	1170700.0	829144.0	871036.0	2614510.0	866075.0	513546.0	1487140.0	374086.0	662332.0	1105530.0	1510900.0	839581.0	386022.0	658869.0	1822040.0
118.0869_ 23.9214	304685.0	1910040.0	252967.0	556968.0	1214900.0	3546870.0	1988410.0	1945510.0	2075190.0	354166.0	358025.0	1810370.0	1623810.0	3368820.0	2749580.0	2410000.0	866646.0	2882250.0	1724040.0	1175720.0	675038.0	1139800.0	3331520.0	1837180.0	1687360.0	1619200.0	1151570.0	372390.0	1951830.0	1780450.0	2971910.0	197893.0	187218.0	578058.0	1132400.0	2016060.0	360856.0	2995520.0	79710.5	1357930.0	2906690.0	2785310.0	376972.0	1033600.0	2260310.0	1077240.0	406143.0	1883400.0	372542.0	2789880.0	2011080.0	912232.0	479458.0	2215930.0	594344.0	3075860.0	2335640.0	2836210.0	2790210.0	593286.0	599135.0	1056020.0	1259680.0	2929610.0	1938250.0	2170130.0	1115920.0	349500.0	1027900.0	389703.0	1234950.0	1601990.0	972979.0	893998.0	1704180.0	684275.0	194619.0	233018.0	580428.0	3620060.0	2088480.0	2512070.0	1434430.0	829740.0	2778610.0	1287760.0	1841410.0	1345290.0	726610.0	2598100.0	1685880.0	2829120.0	631042.0	1737170.0	1822030.0	1209010.0	1456690.0	739044.0	2457510.0	2478550.0	339005.0	412748.0	903964.0	2479190.0	319284.0	212304.0	492467.0	2134100.0
L-Tyrosine_r29	1706970.0	12977000.0	1951990.0	12852300.0	12400900.0	12359900.0	14020800.0	12033300.0	13167000.0	11584500.0	2420450.0	11790300.0	11757500.0	10975300.0	10100900.0	8834830.0	6019800.0	14508700.0	10825300.0	10158700.0	11796500.0	12268800.0	10793500.0	13203100.0	10775700.0	12415000.0	4401180.0	3154230.0	12517100.0	11925500.0	12035600.0	1535890.0	94738.29688	8909870.0	7142340.0	11593500.0	1004840.0	9857160.0	424976.0	9777990.0	8793180.0	13523900.0	5100830.0	12675000.0	11835000.0	14510200.0	1911480.0	13101800.0	2592960.0	13059900.0	13817900.0	14640300.0	8833640.0	9834780.0	9144990.0	13822500.0	14050900.0	14520900.0	12509900.0	7102140.0	5571500.0	6142770.0	14921000.0	12595100.0	11153400.0	13623600.0	8136630.0	1850080.0	11284600.0	12484400.0	9507110.0	12393900.0	8955620.0	13600400.0	4175840.0	11054600.0	1548990.0	1639070.0	11113700.0	12610200.0	13106700.0	12237100.0	12533900.0	114675.0	10192300.0	10772900.0	14360300.0	11461700.0	8394800.0	7834920.0	12605400.0	12127300.0	12951700.0	11158400.0	11711000.0	13337800.0	14779800.0	9220950.0	8244180.0	8408120.0	3017130.0	10881300.0	8888690.0	7743420.0	2326350.0	1377790.0	14576000.0	8658350.0
147.0485_ 31.3169	144704.0	442760.0	144927.0	591234.0	258700.0	427910.0	359776.0	316640.0	305610.0	968314.0	142289.0	239443.0	74106.79688	345840.0	157247.0	255559.0	124751.0	385689.0	304049.0	723547.0	621726.0	248586.0	363808.0	283715.0	371639.0	299705.0	281556.0	225940.0	107910.0	154051.0	357020.0	116188.0	68929.20313	124123.0	377010.0	291066.0	86126.89844	161886.0	553460.0	249076.0	207524.0	447841.0	1356070.0	626893.0	330120.0	324673.0	140849.0	434779.0	147227.0	504816.0	408852.0	185033.0	30305.30078	100162.0	124358.0	487512.0	378532.0	378204.0	418554.0	501919.0	118603.0	330567.0	564052.0	378386.0	261403.0	450838.0	540000.0	84426.79688	144122.0	801475.0	589644.0	104238.0	137669.0	346757.0	254145.0	419452.0	121721.0	161505.0	432140.0	417373.0	309757.0	322388.0	327908.0	115477.0	134017.0	218839.0	385334.0	369761.0	116639.0	192108.0	890598.0	418418.0	577582.0	251035.0	310146.0	326515.0	489829.0	108273.0	231378.0	190865.0	212900.0	206382.0	501709.0	106956.0	106995.0	123099.0	988930.0	263173.0
659.9844_ 42.5390	292966.0	1319710.0	246621.0	150345.0	948934.0	592347.0	1643430.0	2125200.0	1378590.0	308536.0	331365.0	1614400.0	191480.0	590825.0	1825960.0	1759870.0	394577.0	1575670.0	2952560.0	4240320.0	1886020.0	4412980.0	621295.0	1427020.0	3126720.0	186088.0	2466310.0	156865.0	1604810.0	1717140.0	615696.0	317486.0	1158620.0	684273.0	3310030.0	3042360.0	290535.0	1627560.0	6610270.0	1251260.0	691643.0	1200460.0	3011580.0	703356.0	1388780.0	961864.0	453059.0	1399320.0	428867.0	607260.0	43463.5	997171.0	109434.0	76235.5	2556240.0	663201.0	1488790.0	1408280.0	264135.0	1158410.0	386979.0	3997100.0	2894910.0	1481170.0	2325910.0	1370410.0	5342450.0	240701.0	3833310.0	275125.0	2451470.0	3736580.0	1499080.0	1136920.0	852914.0	197223.0	336073.0	264679.0	562827.0	545915.0	1261140.0	1602590.0	2040050.0	361359.0	267153.0	271613.0	1928270.0	116245.0	1450240.0	802215.0	182902.0	487674.0	580650.0	4379970.0	2593820.0	1027960.0	1605210.0	2062260.0	843999.0	732643.0	228987.0	946450.0	2302940.0	1720830.0	427882.0	145765.0	781292.0	766044.0
560.3948_345.5929	2066210.0	6147020.0	2021800.0	3658780.0	1654580.0	6418050.0	5773480.0	6120390.0	4950890.0	2040650.0	4406260.0	5208070.0	4029530.0	3075740.0	6217710.0	5405020.0	2573600.0	8270340.0	5985950.0	4919490.0	4421090.0	6210880.0	2589790.0	3790810.0	6204390.0	3904700.0	8108070.0	1825680.0	6248850.0	4093010.0	4486460.0	1543520.0	2484440.0	3419180.0	4576590.0	5987540.0	2831370.0	6091540.0	9812120.0	4411610.0	3287950.0	3188140.0	6940630.0	1348400.0	3536020.0	4654170.0	4496580.0	7071750.0	3594660.0	2293320.0	4331960.0	3108950.0	1777390.0	3294700.0	3418980.0	2488180.0	8060160.0	8443330.0	3434620.0	3313220.0	2407030.0	6844210.0	6501960.0	5532840.0	5901380.0	2906360.0	4541210.0	2985730.0	6504880.0	2334780.0	5044400.0	6656530.0	3362350.0	5571310.0	8139980.0	4034490.0	1114680.0	2214550.0	3667400.0	5366910.0	3370830.0	5805060.0	5587240.0	2694090.0	6480690.0	4470860.0	5686850.0	4531930.0	3704500.0	3400920.0	3974430.0	2389340.0	1574510.0	4666970.0	3948750.0	5329800.0	5642740.0	3077530.0	3226890.0	6346440.0	1830590.0	3016180.0	3248940.0	5767800.0	2895950.0	1607100.0	2998980.0	6931950.0
265.1546_245.3792	641161.0	5088750.0	641125.0	2645890.0	354468.0	1582470.0	1961150.0	602956.0	4369610.0	1087970.0	217560.0	5301260.0	4427760.0	1949120.0	2286400.0	2795640.0	1012460.0	4445460.0	1906390.0	4745910.0	2332110.0	2962080.0	2050490.0	4521400.0	5195730.0	2787090.0	5272380.0	250771.0	1708340.0	1124630.0	1767560.0	528791.0	193328.0	1135860.0	3052610.0	1831700.0	279771.0	1468320.0	6057220.0	3211640.0	920787.0	2472310.0	5383800.0	384333.0	2768370.0	2940680.0	242936.0	5383550.0	186978.0	2128130.0	2817720.0	525689.0	898394.0	2372260.0	487576.0	2161110.0	3125370.0	4487580.0	2518930.0	855054.0	1173140.0	2923880.0	5348280.0	2926630.0	2283240.0	1902160.0	2310320.0	267158.0	1730650.0	668604.0	2767770.0	2798650.0	939609.0	2837290.0	2849720.0	4161320.0	89353.79688	664258.0	2708430.0	1232570.0	1513460.0	2835510.0	2428680.0	979471.0	2117210.0	3064660.0	2835030.0	2976580.0	421013.0	843961.0	2781960.0	1752940.0	604224.0	1916910.0	916155.0	2770070.0	6693780.0	379494.0	891334.0	4040890.0	206826.0	587969.0	4400250.0	2338400.0	236637.0	525076.0	765686.0	2362180.0
165.0600_ 39.0564	301475.0	5751180.0	158563.0	3871320.0	2764580.0	5947290.0	4600960.0	4193420.0	3522000.0	2380860.0	70813.89844	3249930.0	3936770.0	4673240.0	3814180.0	3121830.0	1474170.0	4835550.0	4011140.0	1819390.0	4999400.0	2976840.0	4640980.0	3435630.0	4885250.0	3562410.0	817288.0	993161.0	4384740.0	4249750.0	4708440.0	89940.5	349057.0	2228770.0	1459450.0	4210530.0	86887.0	3854240.0	62219.0	2915690.0	2864520.0	5923400.0	1251220.0	2889540.0	4105930.0	5142770.0	546983.0	5593420.0	201384.0	6819600.0	4810390.0	2678300.0	1624880.0	4398320.0	2305260.0	6727390.0	5174250.0	4696040.0	5937090.0	1742250.0	1365900.0	1474910.0	7157120.0	4991250.0	2907380.0	5820790.0	1934650.0	111623.0	3804170.0	2614750.0	2629200.0	4538630.0	2306770.0	4751200.0	891280.0	3835900.0	123601.0	110877.0	3809630.0	6267160.0	4369640.0	4748090.0	4466330.0	1136230.0	5116860.0	3274610.0	4686800.0	4273220.0	2289960.0	2638600.0	4867070.0	6043660.0	2674640.0	3237590.0	4098170.0	4318230.0	6085260.0	2499890.0	2314830.0	2183820.0	946038.0	2706870.0	2795000.0	2910990.0	87664.0	263011.0	2643780.0	2251340.0
381.0802_ 21.5450	2317610.0	1519010.0	2183420.0	1471880.0	2016620.0	932141.0	1188130.0	1600920.0	1356880.0	1704220.0	1280330.0	1187740.0	1833940.0	713057.0	1518600.0	846630.0	1277940.0	1383720.0	2142110.0	2930140.0	2005170.0	1438530.0	758627.0	1245720.0	1875100.0	1175380.0	1737100.0	2962250.0	1246090.0	1285630.0	719335.0	1366480.0	3316630.0	3052360.0	1882770.0	1860120.0	1677860.0	1622470.0	2418400.0	2296010.0	1036670.0	663256.0	2081670.0	2031110.0	1833980.0	2988620.0	1193070.0	1178150.0	1233230.0	694720.0	1318210.0	1767920.0	1766180.0	1815850.0	1617780.0	963235.0	1318120.0	1377580.0	222415.0	2725010.0	1131040.0	1781580.0	2724920.0	1407100.0	1937010.0	861751.0	2276050.0	1612950.0	1782100.0	1556120.0	1624490.0	1883330.0	2364720.0	2695270.0	1809200.0	1835830.0	1351820.0	2265120.0	1930110.0	763162.0	1846740.0	1034170.0	1110300.0	1274010.0	701552.0	2145500.0	1969110.0	2372540.0	1531790.0	997398.0	1501380.0	702849.0	1956740.0	1960190.0	1973710.0	2914160.0	1897310.0	1534610.0	876672.0	1270240.0	2723910.0	1837350.0	1874740.0	1520530.0	1640200.0	1307900.0	1624880.0	1201410.0
130.0762_ 26.5473	257804.0	1106760.0	372054.0	180275.0	132619.0	1948570.0	1384910.0	940377.0	720762.0	132523.0	2292340.0	690349.0	695145.0	2598380.0	679321.0	348307.0	150913.0	953085.0	1554010.0	281290.0	505804.0	397596.0	3196650.0	964460.0	2839530.0	560226.0	823668.0	4044520.0	1445350.0	808447.0	3099840.0	622292.0	218375.0	318201.0	459824.0	1755060.0	5273440.0	4124560.0	118111.0	5450700.0	3224500.0	396600.0	65516.60156	121851.0	4236050.0	5527270.0	54494.5	1025600.0	53278.19922	1883040.0	598314.0	146332.0	108218.0	562276.0	1884250.0	2337030.0	812931.0	949715.0	570672.0	310671.0	276628.0	788518.0	665140.0	493677.0	2656790.0	409937.0	580782.0	4117630.0	1245430.0	128846.0	432416.0	487036.0	357547.0	5019190.0	1544100.0	295737.0	525704.0	314819.0	267601.0	2092640.0	3944530.0	449587.0	1591710.0	462154.0	631970.0	5712310.0	632690.0	759308.0	1547970.0	3402960.0	625078.0	2924420.0	132515.0	2366130.0	2721610.0	5646410.0	734838.0	1627080.0	2618540.0	3617570.0	4820840.0	135920.0	445392.0	584866.0	4935460.0	250277.0	138316.0	1406250.0
