#OTU ID	CWB1	MRM1	CWB3	FPP2	FWB2	MWB2	RPP1	RPB2	BRM1	FRR2	CRR1	BRM2	SPB2	BWB3	RRR2	BRR1	CPP2	MRR1	MPB1	SRM1	SPP3	BPP3	BWB1	BRM3	MRM3	SRR2	BWA1	CWA3	RPP3	RPB3	BWB2	CPB3	CWA1	FWA1	SPB3	MPB2	CRM3	RRR1	BWA2	SRM3	RWA3	RRM2	MPP3	FWB1	SWB2	SWA3	CRR3	MRM2	CRR2	RWB1	SRR1	FRM3	FRR3	SWB1	FPB3	RWB2	MRR2	MRR3	RRM1	FWA3	CPP3	MWA3	MPP2	BRR2	BPB1	RRM3	BPB2	CRM2	MPB3	FRR1	SPP1	BPP1	FWA2	SWA1	BWA3	FPP1	CPB2	CWB2	FPP3	MWB3	SWB3	BRR3	RPP2	CPP1	MWB1	SRM2	BPP2	SPB1	FPB1	RWA2	SRR3	RWB3	FWB3	BPB3	RPB1	SWA2	MPP1	FPB2	RWA1	MWA1	CWA2	FRM1	SPP2	RRR3	CRM1	CPB1	FRM2	MWA2
Protocatechuic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000186048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000166618	0	0	0	0	0	0	0	0	0	0	0	0
petunidin-3-coumaroylrutinoside-5-glucoside	0	0.001445494	0	0.002419017	0	0	0.001151903	0.001782502	0	0	0	0	0.001729832	0	0	0	0.00086451	0.000426484	0.003690589	0	0.001419142	0.001886611	0.000175205	0	0.000539717	0	0	0	0.001138689	0.002098863	0	0	0	0	0.001308715	0.004189714	0	0	0	0	0	0	0.00216158	0	0	0	0	0	0	0	0	0	0.000284629	0	0.001819206	0	0	0	0	0	0.000764042	0	0.001986595	0	0.002972695	0.000532608	0.002556125	0	0.003671165	0.000275973	0.001906373	0.001717526	0	0	0	0.00236701	0	0	0.002495168	0	0	0	0.001175935	0.000868494	0	0	0.001963772	0.001385221	0.001939802	0	0	0	0	0.002767038	0.001842375	0	0.002083523	0.001776371	0	0	0	0	0.001786127	0	0	0	0	0
peonidin-3-coumaroylrutinoside-5-glucoside	0	0.002734949	0	0.001193154	0	0	0.000794354	0.000729808	0.002192397	0.001140405	0.000727554	0.001765872	0.000728788	0	0.002562217	0.002308203	0.000422677	0.002026582	0.000847744	0.002105287	0.001175747	0.001466983	0	0.002082863	0.002605668	0.002517607	0.000486522	0	0.000999929	0.000711379	0	0	0	0.000882722	0.000608662	0.000736479	0.000613994	0.002768279	0.000290401	0.001938204	0	0.002170574	0.001203876	0	0	0.000666506	0.000763469	0.001921051	0.000751465	0	0.001851341	0.00109483	0.001233717	0	0.000471258	0	0.003066873	0.002373594	0.001769876	0.000873202	0.000461659	0	0.001247964	0.001850679	0	0.002200808	0.000584884	0.000619495	0.000842299	0.001097188	0.001611057	0.001342402	0.000793966	0	0	0.000997818	0	0	0.001108823	0	0	0.002009158	0.000980344	0	0	0.001848096	0.001165008	0.000490153	0.000367768	0	0.002248979	0	0	0	0.000805662	0.00040402	0.001299794	0.000483032	0	0	0	0.00123591	0.001514674	0.002908994	0.000519554	0	0.001350518	0
peonidin-3-caffeoylrutinoside-5-glucoside_r1	0	0.001189022	0	0.047957199	0.000557483	0	0.036407443	0.033185874	0	0	0	0	0.035579181	0	0	0	0.0302937	0.000215458	0.033784329	0	0.039184695	0.042272049	0	0	0.001276413	0	0	0	0.033636918	0.043873758	0	0.009307695	0	0	0.031006264	0.044751901	0	0	0	0	0.0003572	0.000231375	0.042541518	0.000537913	0	0.000365189	0	0.001202596	0	0	0	0	0	0	0.033260853	0	0.000235739	0.000224118	0	0	0.031994663	0	0.034406175	0	0.031719832	0	0.034352787	0	0.038376209	0	0.052804097	0.041773177	0	0.000442563	0	0.041950518	0.01015224	0	0.042504679	0	0	0	0.039886103	0.029217294	0	0	0.043470748	0.027289776	0.037108421	0	0	0	0	0.032784322	0.038751771	0.00040897	0.035438263	0.032830858	0	0	0	0	0.052794505	0	0	0.011123467	0	0
peonidin-3-caffeoylrutinoside-5-glucoside_r2	0	0	0	0.000903072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001631833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001380203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001969132	0	0	0	0.003577626	0	0	0	0	0	0	0	0.000441738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p-Coumaric acid	0.000837258	0.011624985	0.000459518	0.01479792	0.011546006	0.016320415	0.015240162	0.013400319	0.006258966	0.009369481	0.000242808	0.006066626	0.012788709	0.010544916	0.010760789	0.007216337	0.006661833	0.008026831	0.011234667	0.004312575	0.013593403	0.009383408	0.010752321	0.005823286	0.009821187	0.009401284	0.001445071	0.006288574	0.014338266	0.013999197	0.010864623	0.000408121	0.002729884	0.006608037	0.004421438	0.013028453	0.000369091	0.011725168	0.000103326	0.007252318	0.009421105	0.015416058	0.00356415	0.01178007	0.008301288	0.013781855	0.001908108	0.011198645	0.000690476	0.018107343	0.010559063	0.009070499	0.006528207	0.01047695	0.008324304	0.018013379	0.009557773	0.007634217	0.014367359	0.005655018	0.006540145	0.00502511	0.017113469	0.011048227	0.007367826	0.015054493	0.005346533	0.000451795	0.01135832	0.009400163	0.008718008	0.013152571	0.006610591	0.01200969	0.001572336	0.012576041	0.000680178	0.000315161	0.014130134	0.014328737	0.010446089	0.011550755	0.014807615	0.005128249	0.013670402	0.008238473	0.013726618	0.01134621	0.008209605	0.008576262	0.013418152	0.018003646	0.011762719	0.008574237	0.013102814	0.010638318	0.014885934	0.009327916	0.007835268	0.006409056	0.006015899	0.009668306	0.009678773	0.009000208	0.000289988	0.001312862	0.009947405	0.006751142
malvidin-3-coumaroylrutinoside-5-glucoside	0	0.000364052	0	0.0018642	0	0	0.002807891	0.002978516	0	0	0	0.000220503	0.001935688	0	0	0	0.001009996	0.000229342	0.003908889	0.000386012	0.002379922	0.003974088	0	0.000301662	0.000366994	0	0	0	0.00334018	0.00298965	0	0.000347121	0	0	0.002093049	0.004141041	0	0	0	0.000363443	0	0	0.003534611	0	0	0	0	0.000474726	0	0	0	0	0	0	0.001574369	0	0.000331428	0.000178962	0	0	0.001240071	0	0.00417708	0.000253705	0.002134023	0	0.002582235	0	0.004460061	0	0.003959014	0.003597647	0	0	0	0.001840514	0	0	0.001716507	0	0	0	0.003372777	0.001189003	0	0.000287045	0.003082192	0.001743037	0.00166218	0	0	0	0	0.002309423	0.002818481	0	0.003304023	0.002009321	0	0	0	0	0.003066104	0	0	0.000485987	0	0
family:anthrocyanin_r1	0	0.020450924	0	0	0	0.001339002	0	0	0.017515207	0.038706931	0.012274901	0.018600451	0	0	0.025074108	0.017250574	0	0.016122152	0	0.028738967	0	0	0	0.016570118	0.022872041	0.025056606	0.000136243	0	0	0	0	0	0	0.009482992	0	0	0.021259053	0.026299369	0	0.027258282	0.00028538	0.027846449	0.000418912	0	0	0	0.013077367	0.020578693	0.012141131	0	0.021073434	0.032840605	0.039196404	0	0	0	0.017504121	0.014603989	0.026905296	0.009987075	0	0	0.000147645	0.01441147	0	0.02536193	0	0.020324141	0	0.034976732	0	0	0.008284639	0	3.45E-05	0	0	0	0	0.001059042	0	0.017333223	0	0	0.001271911	0.024379275	0	0	0	0.000267926	0.023479416	0	0	0	0	0	0.000209234	0	0.0003509	0	0	0.036056618	0	0.028232273	0.016306758	0	0.037163308	0
family:anthrocyanin_r2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000115267	0.00079501	4.36E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000822063	0	0	0	0	0	0	0.000291636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000708419	0	0	0	0.000734523	0	0.000760424	0	0.000808972	0.000522112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000669625	0	0	0	0	0	0	0	0	0	0.000674479	0	0	0	0	0	0	0	0	0	0	0
family:anthrocyanin_r3	0	0	0	0	0	0	0.000423035	0.000270669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000137839	0.000149321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000195778	0	0	0	0	0	0	0	0	0	0	0	0.00026671	0	0	0	0	0	0	0	0	0	0	0	0	0
