#SampleID	BarcodeSequence	LinkerPrimerSequence	potato_type	processing_type	control_vs_potato	description
C1_36					control	control_1
C1_45					control	control_1
C1_57					control	control_1
C1_60					control	control_1
C1_69					control	control_1
C1_76					control	control_1
C2_30					control	control_2
C2_34					control	control_2
C2_42					control	control_2
C2_55					control	control_2
C2_67					control	control_2
C2_74					control	control_2
PR_39			purple	raw	potato	purple_raw
PR_44			purple	raw	potato	purple_raw
PR_48			purple	raw	potato	purple_raw
PR_54			purple	raw	potato	purple_raw
PR_63			purple	raw	potato	purple_raw
PR_66			purple	raw	potato	purple_raw
PB_40			purple	baked	potato	purple_baked
PB_53			purple	baked	potato	purple_baked
PB_61			purple	baked	potato	purple_baked
PB_68			purple	baked	potato	purple_baked
PB_72			purple	baked	potato	purple_baked
PB_75			purple	baked	potato	purple_baked
PC_32			purple	chipped	potato	purple_chipped
PC_33			purple	chipped	potato	purple_chipped
PC_43			purple	chipped	potato	purple_chipped
PC_51			purple	chipped	potato	purple_chipped
PC_58			purple	chipped	potato	purple_chipped
PC_65			purple	chipped	potato	purple_chipped
WB_31			white	baked	potato	white_baked
WB_35			white	baked	potato	white_baked
WB_46			white	baked	potato	white_baked
WB_47			white	baked	potato	white_baked
WB_50			white	baked	potato	white_baked
WB_62			white	baked	potato	white_baked
WC_38			white	chipped	potato	white_chipped
WC_41			white	chipped	potato	white_chipped
WC_49			white	chipped	potato	white_chipped
WC_56			white	chipped	potato	white_chipped
WC_64			white	chipped	potato	white_chipped
WC_70			white	chipped	potato	white_chipped
WR_29			white	raw	potato	white_raw
WR_37			white	raw	potato	white_raw
WR_52			white	raw	potato	white_raw
WR_59			white	raw	potato	white_raw
WR_71			white	raw	potato	white_raw
WR_73			white	raw	potato	white_raw
