#OTUID	C_2	C_34	C_36	C_49	P10_11	P10_13	P10_18	P10_54	P10_55	P10_57	P20_1	P20_3	P20_16	P20_37	P20_41	P20_52	W10_14	W10_15	W10_21	W10_31	W10_33	W10_53	W20_4	W20_8	W20_23	W20_50	W20_51	W20_56	taxonomy
1	966333.3333	0	0	46666.66667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	" 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 isoform 1 [Homo sapiens]"
2	0	0	0	0	0	0	0	0	0	0	21025666.67	254000	775500	2792666.667	5500000	6355333.333	3745000	0	3008000	0	0	393500	0	0	0	0	0	0	" 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 isoform 2 [Homo sapiens]"
3	0	0	0	0	0	0	0	0	0	0	32566.66667	165333.3333	140000	109000	136666.6667	98350	208666.6667	110600	240666.6667	135666.6667	232333.3333	137666.6667	0	0	0	0	0	0	" 1,4-alpha-glucan-branching enzyme [Homo sapiens]"
4	26366666.67	25933333.33	22333333.33	36233333.33	3.10E+07	32233333.33	18933333.33	2.60E+07	23966666.67	92866666.67	42266666.67	20766666.67	19600000	22100000	17966666.67	19500000	25866666.67	18400000	27033333.33	28333333.33	23966666.67	22633333.33	24766666.67	17900000	7906666.667	10336666.67	7173333.333	12133333.33	" 10 kDa heat shock protein, mitochondrial [Homo sapiens]"
5	4010000	4193333.333	3583333.333	5536666.667	9126666.667	4660000	3300000	3183333.333	5233333.333	7883333.333	4693333.333	3333333.333	3530000	2750000	2903333.333	2580000	3993333.333	2853333.333	6136666.667	5340000	4106666.667	2953333.333	2816666.667	2096666.667	1716666.667	1343333.333	1420000	1153000	 116 kDa U5 small nuclear ribonucleoprotein component isoform a [Homo sapiens]
6	66533333.33	77266666.67	73033333.33	83833333.33	104433333.3	71566666.67	53633333.33	63833333.33	69866666.67	48400000	68766666.67	53700000	49533333.33	51133333.33	5.20E+07	55366666.67	51133333.33	46033333.33	58400000	68466666.67	63700000	57200000	57866666.67	40433333.33	2.60E+07	19200000	8620000	11713333.33	 14-3-3 protein beta/alpha [Homo sapiens]
7	26500000	25066666.67	24833333.33	23966666.67	45933333.33	28466666.67	17200000	25433333.33	23933333.33	1.40E+07	23566666.67	1.90E+07	19466666.67	17733333.33	12873333.33	1.90E+07	16486666.67	15066666.67	27633333.33	23133333.33	27566666.67	24333333.33	25066666.67	17733333.33	11186666.67	8063333.333	2546666.667	1762000	 14-3-3 protein epsilon [Homo sapiens]
8	50600000	60666666.67	56766666.67	69066666.67	85100000	58266666.67	44033333.33	5.30E+07	56966666.67	41833333.33	5.70E+07	46066666.67	37733333.33	42833333.33	40400000	45500000	40966666.67	33700000	4.80E+07	57233333.33	51333333.33	47500000	46766666.67	31100000	22433333.33	14800000	5770000	8513333.333	 14-3-3 protein eta [Homo sapiens]
9	53800000	62533333.33	58466666.67	70333333.33	87033333.33	6.00E+07	45366666.67	53866666.67	57666666.67	47766666.67	59133333.33	45966666.67	40900000	43566666.67	42233333.33	47433333.33	42200000	35733333.33	48233333.33	56733333.33	51766666.67	47100000	48300000	32800000	22800000	16366666.67	7706666.667	9953333.333	 14-3-3 protein gamma [Homo sapiens]
10	46233333.33	53466666.67	51300000	61233333.33	77666666.67	51900000	41166666.67	48400000	49633333.33	38300000	52366666.67	40333333.33	34666666.67	38333333.33	37200000	42133333.33	0	0	0	0	0	0	0	0	0	0	0	0	 14-3-3 protein sigma [Homo sapiens]
11	58200000	66766666.67	65300000	72633333.33	93300000	63266666.67	49533333.33	58500000	61400000	46466666.67	61600000	47433333.33	42966666.67	45266666.67	45266666.67	49033333.33	43900000	39966666.67	52633333.33	63833333.33	55766666.67	51933333.33	52100000	35066666.67	23966666.67	17200000	7176666.667	10210000	 14-3-3 protein theta [Homo sapiens]
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606666.6667	571666.6667	437000	216333.3333	126000	122366.6667	 14 kDa phosphohistidine phosphatase isoform 3 [Homo sapiens]
13	0	0	0	0	382333.3333	401666.6667	0	0	869000	1682333.333	0	349666.6667	0	0	0	279666.6667	1236666.667	187500	71666.66667	276666.6667	527000	205333.3333	219000	169000	203000	17000	0	0	" 2',3'-cyclic-nucleotide 3'-phosphodiesterase [Homo sapiens]"
14	0	0	0	0	2171666.667	0	436666.6667	31366.66667	0	353800	348333.3333	0	912333.3333	0	0	0	1853000	0	1624666.667	684333.3333	0	0	127333.3333	379000	0	0	0	0	" 2,4-dienoyl-CoA reductase, mitochondrial precursor [Homo sapiens]"
15	952333.3333	1163000	957800	2203333.333	2176666.667	818666.6667	1442000	978333.3333	1166000	6360000	1461000	1052000	456666.6667	1137666.667	407666.6667	595000	776333.3333	1256166.667	864666.6667	1590000	1283333.333	556200	977666.6667	1100000	85500	685333.3333	299333.3333	539966.6667	 26S protease regulatory subunit 10B [Homo sapiens]
16	234100	308666.6667	179366.6667	1175500	1852333.333	85166.66667	247666.6667	0	780333.3333	5199000	374000	300400	415000	243000	102966.6667	545333.3333	83266.66667	325666.6667	1115000	105600	231000	270000	266666.6667	15566.66667	54666.66667	0	994000	26566.66667	 26S protease regulatory subunit 4 [Homo sapiens]
17	447333.3333	646500	409666.6667	490333.3333	1120666.667	386666.6667	0	147566.6667	878666.6667	3033333.333	377333.3333	593666.6667	244666.6667	223000	335000	257600	567666.6667	5.00E+05	253500	427333.3333	5.00E+05	401000	387666.6667	396000	0	0	34450	10733.33333	 26S protease regulatory subunit 6A [Homo sapiens]
18	299500	481666.6667	346000	768500	712666.6667	286000	0	353666.6667	622000	571333.3333	2634333.333	421000	14766.66667	354000	382000	0	350333.3333	0	108333.3333	658666.6667	486000	0	306000	298000	0	11700	0	0	 26S protease regulatory subunit 7 isoform 1 [Homo sapiens]
19	1332666.667	1533333.333	895666.6667	3743333.333	4606666.667	781333.3333	1751333.333	1266666.667	2816666.667	2260000	1275000	1102666.667	717666.6667	455666.6667	302000	1123333.333	1212000	502333.3333	792000	1800000	1970000	727333.3333	1395666.667	346000	219333.3333	347000	21366.66667	208333.3333	 26S protease regulatory subunit 8 isoform 1 [Homo sapiens]
20	1857666.667	2890000	1813000	1366666.667	860666.6667	1976666.667	937333.3333	920450	1450000	446666.6667	1310000	1490000	1940000	2385000	1118666.667	0	104000	0	929333.3333	1330000	989000	0	0	0	0	0	0	0	 26S proteasome non-ATPase regulatory subunit 1 isoform 1 [Homo sapiens]
21	3556000	6.00E+06	4115000	620000	10603333.33	5565000	4049500	2314666.667	0	0	0	7230000	2546666.667	8225000	7510000	0	1436333.333	2236000	3160000	4959333.333	6290333.333	3027333.333	7840000	0	1414000	0	0	0	 26S proteasome non-ATPase regulatory subunit 10 isoform 1 [Homo sapiens]
22	0	0	0	0	682333.3333	0	0	0	584633.3333	705666.6667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 26S proteasome non-ATPase regulatory subunit 11 [Homo sapiens]
23	475666.6667	211666.6667	167333.3333	198333.3333	407666.6667	155500	342333.3333	162666.6667	338666.6667	705666.6667	516500	153000	112750	128500	94233.33333	83950	149666.6667	111633.3333	119433.3333	255666.6667	477666.6667	202500	210333.3333	0	0	0	0	0	 26S proteasome non-ATPase regulatory subunit 12 isoform 1 [Homo sapiens]
24	790666.6667	838000	1156666.667	827000	864000	1202000	1210333.333	2425666.667	652666.6667	557333.3333	312333.3333	1183000	816000	620666.6667	405000	338000	450333.3333	462666.6667	1034000	597666.6667	659333.3333	282000	416666.6667	277333.3333	223666.6667	284000	242666.6667	57900	 26S proteasome non-ATPase regulatory subunit 13 isoform 1 [Homo sapiens]
25	0	0	0	0	570000	262000	0	0	0	0	0	0	0	0	0	0	0	0	217000	125000	473000	0	3665333.333	0	43000	105000	0	0	 26S proteasome non-ATPase regulatory subunit 14 [Homo sapiens]
