Serial number,Located in box#,Label on tube,Replicate,Potato type,Potato Flesh Color,Processing type,Volume of sample (ul),Mass Spec File Name,Plate Position,Row,Column
1,1,RWA1,1,Atlantic,White,Raw,200,C18p_RWA1_5ul_GA1_01_7485.mzXML,Green,A,1
2,1,RWA2,2,Atlantic,White,Raw,200,C18p_RWA2_5ul_GA2_01_7486.mzXML,Green,A,2
3,1,RWA3,3,Atlantic,White,Raw,200,C18p_RWA3_5ul_GA3_01_7487.mzXML,Green,A,3
4,1,BWA1,1,Atlantic,White,Baked,200,C18p_BWA1_5ul_Rerun_GA4_01_7683.mzXML,Green,A,4
5,1,BWA2,2,Atlantic,White,Baked,200,C18p_BWA2_5ul_Rerun_GA5_01_7684.mzXML,Green,A,5
6,1,BWA3,3,Atlantic,White,Baked,200,C18p_BWA3_5ul_Rerun_GA6_01_7685.mzXML,Green,A,6
7,1,MWA1,1,Atlantic,White,Microwaved,200,C18p_MWA1_5ul_GA7_01_7493.mzXML,Green,A,7
8,1,MWA2,2,Atlantic,White,Microwaved,200,C18p_MWA2_5ul_GA8_01_7494.mzXML,Green,A,8
9,1,MWA3,3,Atlantic,White,Microwaved,200,C18p_MWA3_5ul_GB1_01_7495.mzXML,Green,B,1
10,1,RWB1,1,Russet Burbank,White,Raw,200,C18p_RWB1_5ul_GB2_01_7498.mzXML,Green,B,2
11,1,RWB2,2,Russet Burbank,White,Raw,200,C18p_RWB2_5ul_GB3_01_7499.mzXML,Green,B,3
12,1,RWB3,3,Russet Burbank,White,Raw,200,C18p_RWB3_5ul_GB4_01_7500.mzXML,Green,B,4
13,1,BWB1,1,Russet Burbank,White,Baked,200,C18p_BWB1_5ul_GB5_01_7502.mzXML,Green,B,5
14,1,BWB2,2,Russet Burbank,White,Baked,200,C18p_BWB2_5ul_GB6_01_7503.mzXML,Green,B,6
15,1,BWB3,3,Russet Burbank,White,Baked,200,C18p_BWB3_5ul_GB7_01_7504.mzXML,Green,B,7
16,1,MWB1,1,Russet Burbank,White,Microwaved,200,C18p_MWB1_5ul_GB8_01_7506.mzXML,Green,B,8
17,1,MWB2,2,Russet Burbank,White,Microwaved,200,C18p_MWB2_5ul_GC1_01_7507.mzXML,Green,C,1
18,1,MWB3,3,Russet Burbank,White,Microwaved,200,C18p_MWB3_5ul_GC2_01_7508.mzXML,Green,C,2
19,1,RRM1,1,Mountain Rose,Red,Raw,200,C18p_RRM1_5ul_GC3_01_7511.mzXML,Green,C,3
20,1,RRM2,2,Mountain Rose,Red,Raw,200,C18p_RRM2_5ul_GC4_01_7515.mzXML,Green,C,4
21,1,RRM3,3,Mountain Rose,Red,Raw,200,C18p_RRM3_5ul_GC5_01_7516.mzXML,Green,C,5
22,1,BRM1,1,Mountain Rose,Red,Baked,200,C18p_BRM1_5ul_GC6_01_7518.mzXML,Green,C,6
23,1,BRM2,2,Mountain Rose,Red,Baked,200,C18p_BRM2_5ul_GC7_01_7519.mzXML,Green,C,7
24,1,BRM3,3,Mountain Rose,Red,Baked,200,C18p_BRM3_5ul_GC8_01_7520.mzXML,Green,C,8
25,1,MRM1,1,Mountain Rose,Red,Microwaved,200,C18p_MRM1_5ul_GD1_01_7522.mzXML,Green,D,1
26,1,MRM2,2,Mountain Rose,Red,Microwaved,200,C18p_MRM2_5ul_GD2_01_7523.mzXML,Green,D,2
27,1,MRM3,3,Mountain Rose,Red,Microwaved,200,C18p_MRM3_5ul_GD3_01_7524.mzXML,Green,D,3
28,1,RRR1,1,All Red,Red,Raw,200,C18p_RRR1_5ul_GD4_01_7527.mzXML,Green,D,4
29,1,RRR2,2,All Red,Red,Raw,200,C18p_RRR2_5ul_GD5_01_7528.mzXML,Green,D,5
30,1,RRR3,3,All Red,Red,Raw,200,C18p_RRR3_5ul_GD6_01_7529.mzXML,Green,D,6
31,1,BRR1,1,All Red,Red,Baked,200,C18p_BRR1_5ul_GD7_01_7531.mzXML,Green,D,7
32,1,BRR2,2,All Red,Red,Baked,200,C18p_BRR2_5ul_GD8_01_7532.mzXML,Green,D,8
33,1,BRR3,3,All Red,Red,Baked,200,C18p_BRR3_5ul_GE1_01_7533.mzXML,Green,E,1
34,1,MRR1,1,All Red,Red,Microwaved,200,C18p_MRR1_5ul_GE2_01_7535.mzXML,Green,E,2
35,1,MRR2,2,All Red,Red,Microwaved,200,C18p_MRR2_5ul_GE3_01_7536.mzXML,Green,E,3
36,1,MRR3,3,All Red,Red,Microwaved,200,C18p_MRR3_5ul_GE4_01_7537.mzXML,Green,E,4
37,1,RPP1,1,Purple Majesty,Purple,Raw,200,C18p_RPP1_5ul_GE5_01_7543.mzXML,Green,E,5
38,1,RPP2,2,Purple Majesty,Purple,Raw,200,C18p_RPP2_5ul_GE6_01_7544.mzXML,Green,E,6
39,1,RPP3,3,Purple Majesty,Purple,Raw,200,C18p_RPP3_5ul_GE7_01_7545.mzXML,Green,E,7
40,1,BPP1,1,Purple Majesty,Purple,Baked,200,C18p_BPP1_5ul_BA1_01_7547.mzXML,Blue,A,1
41,1,BPP2,2,Purple Majesty,Purple,Baked,200,C18p_BPP2_5ul_BA2_01_7548.mzXML,Blue,A,2
42,1,BPP3,3,Purple Majesty,Purple,Baked,200,C18p_BPP3_5ul_BA3_01_7549.mzXML,Blue,A,3
43,1,MPP1,1,Purple Majesty,Purple,Microwaved,200,C18p_MPP1_5ul_Rerun_BA4_01_7674.mzXML,Blue,A,4
44,1,MPP2,2,Purple Majesty,Purple,Microwaved,200,C18p_MPP2_5ul_Rerun_BA5_01_7675.mzXML,Blue,A,5
45,1,MPP3,3,Purple Majesty,Purple,Microwaved,200,C18p_MPP3_5ul_Rerun_BA6_01_7676.mzXML,Blue,A,6
46,1,RPB1,1,All Blue,Purple,Raw,200,C18p_RPB1_5ul_BA7_01_7556.mzXML,Blue,A,7
47,1,RPB2,2,All Blue,Purple,Raw,200,C18p_RPB2_5ul_BA8_01_7557.mzXML,Blue,A,8
48,1,RPB3,3,All Blue,Purple,Raw,200,C18p_RPB3_5ul_BB1_01_7558.mzXML,Blue,B,1
49,1,BPB1,1,All Blue,Purple,Baked,200,C18p_BPB1_5ul_BB2_01_7560.mzXML,Blue,B,2
