#SampleID	diet	processing	combined
C1_36	control_standard	control_standard	control_standard
C1_45	control_standard	control_standard	control_standard
C1_57	control_standard	control_standard	control_standard
C1_60	control_standard	control_standard	control_standard
C1_69	control_standard	control_standard	control_standard
C1_76	control_standard	control_standard	control_standard
C2_30	control_highfat	control_highfat	control_highfat
C2_34	control_highfat	control_highfat	control_highfat
C2_42	control_highfat	control_highfat	control_highfat
C2_55	control_highfat	control_highfat	control_highfat
C2_67	control_highfat	control_highfat	control_highfat
C2_74	control_highfat	control_highfat	control_highfat
PC_32	purple	chipped	purple_chipped
PC_33	purple	chipped	purple_chipped
PC_43	purple	chipped	purple_chipped
PC_51	purple	chipped	purple_chipped
PC_58	purple	chipped	purple_chipped
PC_65	purple	chipped	purple_chipped
WC_38	white	chipped	white_chipped
WC_41	white	chipped	white_chipped
WC_49	white	chipped	white_chipped
WC_56	white	chipped	white_chipped
WC_64	white	chipped	white_chipped
WC_70	white	chipped	white_chipped
