#SampleID	potato	percent_potato	combined
C_2	control	control	control
C_34	control	control	control
C_36	control	control	control
C_49	control	control	control
P10_11	purple	10	purple_10
P10_13	purple	10	purple_10
P10_18	purple	10	purple_10
P10_54	purple	10	purple_10
P10_55	purple	10	purple_10
P10_57	purple	10	purple_10
P20_1	purple	20	purple_20
P20_3	purple	20	purple_20
P20_16	purple	20	purple_20
P20_37	purple	20	purple_20
P20_41	purple	20	purple_20
P20_52	purple	20	purple_20
W10_14	white	10	white_10
W10_15	white	10	white_10
W10_21	white	10	white_10
W10_31	white	10	white_10
W10_33	white	10	white_10
W10_53	white	10	white_10
W20_4	white	20	white_20
W20_8	white	20	white_20
W20_23	white	20	white_20
W20_50	white	20	white_20
W20_51	white	20	white_20
W20_56	white	20	white_20
